,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[INSERT] Operations,[INSERT] AverageLatency(us),[INSERT] MinLatency(us),[INSERT] MaxLatency(us),[INSERT] 95thPercentileLatency(us),[INSERT] 99thPercentileLatency(us),[INSERT] Return=OK,[SCAN] Operations,[SCAN] AverageLatency(us),[SCAN] MinLatency(us),[SCAN] MaxLatency(us),[SCAN] 95thPercentileLatency(us),[SCAN] 99thPercentileLatency(us),[SCAN] Return=OK
Couchbase,18658.0,267.98156286847467,2.0,1.0,0.0,2.0,2.0,2.0,251.0,1133.832669322709,268.0,10255.0,3357.0,6851.0,251.0,4749.0,7339.724573594441,999.0,3235839.0,13871.0,23407.0,4749.0
Mongo,3453.0,1448.0162177816392,2.0,1033.0,7.0,2059.0,2059.0,2059.0,239.0,918.5857740585774,281.0,26079.0,1811.0,5479.0,239.0,4761.0,1165.3696702373452,205.0,65727.0,2589.0,6611.0,4761.0
