,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[INSERT] Operations,[INSERT] AverageLatency(us),[INSERT] MinLatency(us),[INSERT] MaxLatency(us),[INSERT] 95thPercentileLatency(us),[INSERT] 99thPercentileLatency(us),[INSERT] Return=OK,[SCAN] Operations,[SCAN] AverageLatency(us),[SCAN] MinLatency(us),[SCAN] MaxLatency(us),[SCAN] 95thPercentileLatency(us),[SCAN] 99thPercentileLatency(us),[SCAN] Return=OK
Couchbase,20665.0,241.95499637067505,2.0,0.5,0.0,1.0,1.0,1.0,272.0,1754.485294117647,224.0,15623.0,6887.0,9855.0,272.0,4728.0,7906.270304568526,1052.0,203519.0,19967.0,31519.0,4728.0
Mongo,3367.0,1485.001485001485,2.0,908.5,5.0,1812.0,1812.0,1812.0,241.0,803.448132780083,262.0,8927.0,1598.0,6395.0,241.0,4759.0,1191.6932128598446,193.0,81407.0,2591.0,6623.0,4759.0
