,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us)
Couchbase,2941.0,1700.1020061203672,5000.0,504.9642,102.0,22303.0,1325.0,7547.0,5000.0,2.0,1.0,0.0,2.0,2.0,2.0
Mongo,1387.0,3604.902667627974,5000.0,384.7626,147.0,51263.0,794.0,1721.0,5000.0,2.0,884.5,6.0,1763.0,1763.0,1763.0
