,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us)
Couchbase,2428.0,2059.308072487644,5000.0,412.0012,123.0,19391.0,756.0,6539.0,5000.0,2.0,1.0,0.0,2.0,2.0,2.0
Mongo,1418.0,3526.093088857546,5000.0,402.3936,153.0,68095.0,767.0,2028.0,5000.0,2.0,900.0,4.0,1796.0,1796.0,1796.0
