,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us)
Couchbase,2145.0,2331.0023310023307,5000.0,469.4752,97.0,19567.0,1437.0,5679.0,5000.0,2.0,1.0,0.0,2.0,2.0,2.0
Mongo,2019.0,2476.4735017335315,5000.0,577.3526,144.0,167551.0,1114.0,5087.0,5000.0,2.0,655.0,5.0,1305.0,1305.0,1305.0
