,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us)
Couchbase,1796.0,2783.964365256125,5000.0,327.3588,101.0,16335.0,937.0,3277.0,5000.0,2.0,0.5,0.0,1.0,1.0,1.0
Mongo,1504.0,3324.468085106383,5000.0,403.3332,138.0,68799.0,832.0,2483.0,5000.0,2.0,840.5,4.0,1677.0,1677.0,1677.0
