,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[READ-MODIFY-WRITE] Operations,[READ-MODIFY-WRITE] AverageLatency(us),[READ-MODIFY-WRITE] MinLatency(us),[READ-MODIFY-WRITE] MaxLatency(us),[READ-MODIFY-WRITE] 95thPercentileLatency(us),[READ-MODIFY-WRITE] 99thPercentileLatency(us),[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK
Couchbase,2631,1900.418092,5000,412.941,116,23967,979,4551,5000,2509,907.8768434,254,50559,2665,7855,2,0.5,0,1,1,1,2509,473.9545636,128,18927,1146,6255,2509
Mongo,2460,2032.520325,5000,534.5432,156,65279,1231,5275,5000,2475,1080.848889,348,81151,3063,7395,2,922,7,1837,1837,1837,2475,516.9414141,185,12599,1227,4263,2475
