,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK
Mongo,20582,242.9307162,2515,1566.860835,162,367359,2121,8903,2515,2,991,35,1947,1947,1947,2485,1415.451107,196,370431,2137,5839,2485
Couchbase,22179,225.4384778,2481,1684.344216,101,33727,7543,14807,2481,2,1,0,2,2,2,2519,1682.822549,104,38207,6939,14975,2519
