,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK
Mongo,4732,1056.635672,2523,817.836306,169,17583,2157,5607,2523,2,781.5,7,1556,1556,1556,2477,939.2454582,180,65727,2399,7439,2477
Couchbase,5296,944.1087613,2524,1176.436212,82,35295,5103,13895,2524,2,1,0,2,2,2,2476,1199.804927,96,52927,4979,14079,2476
