,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[INSERT] Operations,[INSERT] AverageLatency(us),[INSERT] MinLatency(us),[INSERT] MaxLatency(us),[INSERT] 95thPercentileLatency(us),[INSERT] 99thPercentileLatency(us),[INSERT] Return=OK,[SCAN] Operations,[SCAN] AverageLatency(us),[SCAN] MinLatency(us),[SCAN] MaxLatency(us),[SCAN] 95thPercentileLatency(us),[SCAN] 99thPercentileLatency(us),[SCAN] Return=OK
Couchbase,19690,253.9360081,2,1,0,2,2,2,260,1580.396154,282,34175,5463,9999,260,4740,7334.644304,1061,127935,18351,33951,4740
Mongo,3592,1391.982183,2,713.5,6,1421,1421,1421,260,880.8807692,305,17135,1780,4563,260,4740,1134.355907,203,78079,2389,6755,4740
