,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK
Couchbase,2619,1909.1256204658266,2532,593.8005529225908,117,33855,1813,5363,2532,2,1.0,0,2, 2, 2, 2468, 732.2414910858995, 144, 32799, 2281, 5791, 2468
Mongo,1932,2587.991718426501,2505.0,721.6127744510977,158.0,347135.0,974.0,2517.0,2505.0,2.0,934.0,5.0,1863.0,1863.0,1863.0,2495.0,478.788376753507,171.0,36063.0,942.0,2803.0,2495.0


