,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK
Couchbase,2892,1728.9073305670815,2460.0,684.3869918699188,120.0,18895.0,2367.0,6127.0,2460.0,2.0,0.5,0.0,1.0,1.0,1.0,2540.0,865.8401574803149,152.0,46719.0,2705.0,6723.0,2540.0
Mongo,2755.0,1814.8820326678765,2521.0,625.2578341927806,153.0,88767.0,1278.0,4483.0,2521.0,2.0,970.5,13.0,1928.0,1928.0,1928.0,2479.0,667.1198063735377,187.0,85759.0,1403.0,4703.0,2479.0



