,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[INSERT] Operations,[INSERT] AverageLatency(us),[INSERT] MinLatency(us),[INSERT] MaxLatency(us),[INSERT] 95thPercentileLatency(us),[INSERT] 99thPercentileLatency(us),[INSERT] Return=OK
Couchbase,2182,2291.47571,4777,432.5204103,119,28063,1227,4607,4777,2,0.5,0,1,1,1,223,1000.654709,324,14023,2545,7319,223
Mongo,1498,3337.783712,4740,425.5664557,169,60319,846,2661,4740,2,917.5,4,1831,1831,1831,260,654,258,10143,1449,3881,260
