,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[INSERT] Operations,[INSERT] AverageLatency(us),[INSERT] MinLatency(us),[INSERT] MaxLatency(us),[INSERT] 95thPercentileLatency(us),[INSERT] 99thPercentileLatency(us),[INSERT] Return=OK
Couchbase,2559,1953.888238,4754,413.2864956,107,34271,985,5999,4754,2,0.5,0,1,1,1,246,902.0772358,268,16863,3601,11903,246
Mongo,1481,3376.097232,4750,408.1945263,155,64991,847,2229,4750,2,789,5,1573,1573,1573,250,593.468,251,7771,1135,3903,250
