,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[INSERT] Operations,[INSERT] AverageLatency(us),[INSERT] MinLatency(us),[INSERT] MaxLatency(us),[INSERT] 95thPercentileLatency(us),[INSERT] 99thPercentileLatency(us),[INSERT] Return=OK
Couchbase,3665,1364.25648,4776,673.1046901,102,44287,2677,8999,4776,2,0.5,0,1,1,1,224,1229.236607,216,23119,4403,11679,224
Mongo,1698,2944.640754,4780,482.4483264,153,72255,1123,3227,4780,2,989,5,1973,1973,1973,220,739.2227273,253,9607,1465,4831,220
