,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[INSERT] Operations,[INSERT] AverageLatency(us),[INSERT] MinLatency(us),[INSERT] MaxLatency(us),[INSERT] 95thPercentileLatency(us),[INSERT] 99thPercentileLatency(us),[INSERT] Return=OK
Couchbase,2141,2335.35731,4746,465.6769912,100,28143,1315,5007,4746,2,0.5,0,1,1,1,254,852.8228346,254,13607,1975,5207,254
Mongo,1493,3348.961822,4734,401.1711027,142,60223,838,2339,4734,2,2847.5,5,5691,5691,5691,266,642.8533835,233,10351,1181,3189,266
