,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[READ-MODIFY-WRITE] Operations,[READ-MODIFY-WRITE] AverageLatency(us),[READ-MODIFY-WRITE] MinLatency(us),[READ-MODIFY-WRITE] MaxLatency(us),[READ-MODIFY-WRITE] 95thPercentileLatency(us),[READ-MODIFY-WRITE] 99thPercentileLatency(us),[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK
Couchbase,3844.0,1300.7284079084286,5000.0,520.0314,120.0,24223.0,1422.0,4231.0,5000.0,2565.0,1468.9988304093567,291.0,394239.0,3733.0,9343.0,2.0,0.5,0.0,1.0,1.0,1.0,2565.0,906.393372319688,151.0,377855.0,2225.0,6571.0,2565.0
Mongo,4260.0,1173.7089201877934,5000.0,392.2086,143.0,71231.0,875.0,2657.0,5000.0,2500.0,2118.5804,317.0,1262591.0,2028.0,4747.0,2.0,740.5,5.0,1476.0,1476.0,1476.0,2500.0,1702.5252,167.0,1258495.0,984.0,2527.0,2500.0
