,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[READ-MODIFY-WRITE] Operations,[READ-MODIFY-WRITE] AverageLatency(us),[READ-MODIFY-WRITE] MinLatency(us),[READ-MODIFY-WRITE] MaxLatency(us),[READ-MODIFY-WRITE] 95thPercentileLatency(us),[READ-MODIFY-WRITE] 99thPercentileLatency(us),[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK
Couchbase,4518.0,1106.6843736166445,5000.0,788.3694,110.0,323327.0,2851.0,8035.0,5000.0,2593.0,1728.2880833011955,245.0,329727.0,6235.0,12487.0,2.0,0.5,0.0,1.0,1.0,1.0,2593.0,844.8573081372928,126.0,38559.0,3153.0,8447.0,2593.0
Mongo,2316.0,2158.894645941278,5000.0,503.8488,152.0,65055.0,961.0,3721.0,5000.0,2480.0,991.0435483870967,348.0,82943.0,2217.0,5823.0,2.0,911.5,5.0,1818.0,1818.0,1818.0,2480.0,465.58427419354837,178.0,14159.0,953.0,2639.0,2480.0
