,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[READ-MODIFY-WRITE] Operations,[READ-MODIFY-WRITE] AverageLatency(us),[READ-MODIFY-WRITE] MinLatency(us),[READ-MODIFY-WRITE] MaxLatency(us),[READ-MODIFY-WRITE] 95thPercentileLatency(us),[READ-MODIFY-WRITE] 99thPercentileLatency(us),[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK
Couchbase,3197.0,1563.9662183296841,5000.0,467.9738,108.0,16175.0,1374.0,4647.0,5000.0,2566.0,1097.977007014809,260.0,47231.0,3339.0,9095.0,2.0,2.0,0.0,4.0,4.0,4.0,2566.0,610.5678098207327,139.0,15079.0,1859.0,3985.0,2566.0
Mongo,2015.0,2481.389578163772,5000.0,392.856,143.0,73791.0,809.0,2247.0,5000.0,2483.0,834.3093032621829,326.0,94015.0,1847.0,4563.0,2.0,932.0,7.0,1857.0,1857.0,1857.0,2483.0,422.2291582762786,168.0,12335.0,851.0,2929.0,2483.0
