,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[READ-MODIFY-WRITE] Operations,[READ-MODIFY-WRITE] AverageLatency(us),[READ-MODIFY-WRITE] MinLatency(us),[READ-MODIFY-WRITE] MaxLatency(us),[READ-MODIFY-WRITE] 95thPercentileLatency(us),[READ-MODIFY-WRITE] 99thPercentileLatency(us),[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK
Couchbase,6080.0,822.3684210526317,5000.0,1000.5618,93.0,40127.0,4531.0,11951.0,5000.0,2504.0,2086.7791533546324,219.0,134783.0,8719.0,17839.0,2.0,1.0,0.0,2.0,2.0,2.0,2504.0,1076.1397763578277,116.0,120063.0,4459.0,11479.0,2504.0
Mongo,2400.0,2083.333333333333,5000.0,509.4234,157.0,56799.0,1304.0,3909.0,5000.0,2465.0,1110.7160243407711,355.0,75263.0,2899.0,6123.0,2.0,801.5,5.0,1598.0,1598.0,1598.0,2465.0,538.2762677484787,179.0,11543.0,1254.0,3445.0,2465.0
