,[OVERALL]RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK
Couchbase,4019,1244.0905697934807,2467.0,9951.231860559383,116.0,329215.0,29343.0,52543.0,2467.0,32.0,0.03125,0.0,1.0,0.0,1.0,2533.0,9244.83813659692,137.0,320255.0,25599.0,52127.0,2533.0
Mongo,3029,1650.709805216243,4771.0,12479.806539509536,367.0,202111.0,33311.0,60095.0,4771.0,32.0,249.71875,0.0,7987.0,1.0,7987.0,229.0,11636.008733624452,714.0,214783.0,30607.0,39199.0,229.0
