,[OVERALL]RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK
Couchbase,2361,1900.4180919802359,2517.0,1077.3488279698054,115.0,27503.0,3557.0,10623.0,2517.0,4.0,0.25,0.0,1.0,1.0,1.0,2483.0,1087.2033830044302,120.0,52127.0,3555.0,9039.0,2483.0
Mongo,3433.0,1456.4520827264782,2476.0,1400.2633279483036,169.0,140671.0,4299.0,8903.0,2476.0,4.0,1046.75,1.0,4179.0,4179.0,4179.0,2524.0,1640.8213153724246,168.0,1023487.0,4051.0,9399.0,2524.0
