,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK
Couchbase,3082.0,1622.3231667748214,2466.0,2196.8264395782644,100.0,65855.0,8479.0,16127.0,2466.0,8.0,0.125,0.0,1.0,1.0,1.0,2534.0,2253.518153117601,113.0,121791.0,8115.0,16639.0,2534.0
Mongo,2500.0,2000.0,4746.0,2680.8857985672144,236.0,145151.0,7183.0,13271.0,4746.0,8.0,678.0,0.0,5419.0,5419.0,5419.0,254.0,3007.48031496063,392.0,50559.0,8051.0,16863.0,254.0
