,[OVERALL]RunTime(ms),[OVERALL] Throughput(ops/sec),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK
Couchbase,2515,1988.0715705765408,2514.0,3760.5604614160707,93.0,49727.0,11863.0,19903.0,2514.0,16.0,0.25,0.0,3.0,1.0,3.0,2486.0,4064.8857602574412,115.0,45791.0,12799.0,24127.0,2486.0
Mongo,2489,2008.838891120932,4724.0,4791.43416596105,314.0,276223.0,13087.0,24463.0,4724.0,16.0,644.9375,0.0,10319.0,3.0,10319.0,276.0,6458.851449275363,491.0,194815.0,13423.0,28127.0,276.0
